cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight,zraw
ABprpppaapa:285,ABprpppaapa,285,0,0,0,0,0,0,0,0,0,0,0
ABprpppaapaa:435,ABprpppaapaa,435,0,0,0,0,0,0,0,0,0,0,0
ABprpppaapap:435,ABprpppaapap,435,0,0,0,0,0,0,0,0,0,0,0
ABprpppaapp:285,ABprpppaapp,285,0,0,0,0,0,0,0,0,0,0,0
ABprpppap:172,ABprpppap,172,11253,-13747,41,41,11253,54,480,116,38,393781,12.5
ABprpppapa:225,ABprpppapa,225,12555,-12445,1114,1111,12555,61.1,510,150,35,323704,9.6
ABprpppapaa:275,ABprpppapaa,275,0,0,0,0,0,0,0,0,0,0,0
ABprpppapap:275,ABprpppapap,275,0,0,0,0,0,0,0,0,0,0,0
ABprpppapp:225,ABprpppapp,225,11759,-13241,291,369,11759,69.5,533,171,31,286317,6.2
ABprpppp:133,ABprpppp,133,11654,-13346,-90,-69,11654,51,591,267,46,420826,13.7
ABprppppa:172,ABprppppa,172,11199,-13801,-21,-20,11199,57.2,481,149,38,309011,11.2
ABprppppaa:222,ABprppppaa,222,11147,-13853,-39,-40,11147,58.5,423,161,32,242262,10.6
ABprppppaaa:290,ABprppppaaa,290,0,0,0,0,0,0,0,0,0,0,0
ABprppppaap:290,ABprppppaap,290,0,0,0,0,0,0,0,0,0,0,0
ABprppppap:222,ABprppppap,222,11219,-13781,-99,-56,11219,66.8,474,166,32,200278,7.3
ABprppppapa:280,ABprppppapa,280,0,0,0,0,0,0,0,0,0,0,0
ABprppppapp:280,ABprppppapp,280,0,0,0,0,0,0,0,0,0,0,0
ABprppppp:172,ABprppppp,172,11261,-13739,-78,-59,11261,64,525,172,40,307184,8.4
ABprpppppa:222,ABprpppppa,222,12288,-12712,693,705,12288,65.6,502,196,32,207967,7.8
ABprpppppaa:290,ABprpppppaa,290,0,0,0,0,0,0,0,0,0,0,0
ABprpppppap:290,ABprpppppap,290,0,0,0,0,0,0,0,0,0,0,0
ABprpppppp:222,ABprpppppp,222,12218,-12782,516,553,12218,68,534,224,33,228105,6.8
ABprppppppa:290,ABprppppppa,290,0,0,0,0,0,0,0,0,0,0,0
ABprppppppp:290,ABprppppppp,290,0,0,0,0,0,0,0,0,0,0,0
P1:1,P1,1,0,0,0,0,0,0,0,0,0,0,0
EMS:17,EMS,17,11081,-13919,-26,-26,11081,22.1,396,390,58,786465,25.3
MS:40,MS,40,11626,-13374,276,276,11626,45.2,319,307,71,976225,16
MSa:60,MSa,60,12783,-12217,972,972,12783,37.6,271,345,63,1050545,19.1
MSaa:87,MSaa,87,13320,-11680,1193,1192,13320,40,216,351,56,918459,18.2
MSaaa:113,MSaaa,113,13374,-11626,1302,1297,13374,37.9,197,354,51,832086,19
MSaaaa:146,MSaaaa,146,12231,-12769,706,705,12231,27.8,185,287,45,506167,23.1
MSaaaaa:183,MSaaaaa,183,12016,-12984,572,568,12016,9.2,152,257,40,668798,30.6
MSaaaaaa:230,MSaaaaaa,230,11624,-13376,199,179,11624,0.7,120,265,31,433076,34
MSaaaaaal:355,MSaaaaaal,355,0,0,0,0,0,0,0,0,0,0,0
MSaaaaaar:355,MSaaaaaar,355,0,0,0,0,0,0,0,0,0,0,0
MSaaaaap:230,MSaaaaap,230,11593,-13407,164,162,11593,-8.8,161,299,36,492309,37.9
MSaaaaapa:280,MSaaaaapa,280,0,0,0,0,0,0,0,0,0,0,0
MSaaaaapaa:355,MSaaaaapaa,355,0,0,0,0,0,0,0,0,0,0,0
MSaaaaapap:355,MSaaaaapap,355,0,0,0,0,0,0,0,0,0,0,0
MSaaaaapp:280,MSaaaaapp,280,0,0,0,0,0,0,0,0,0,0,0
MSaaaap:183,MSaaaap,183,11704,-13296,290,293,11704,-11.9,216,255,41,641252,39.1
MSaaaapa:235,MSaaaapa,235,11438,-13562,26,19,11438,-25.9,184,275,32,407013,44.8
MSaaaapaa:285,MSaaaapaa,285,0,0,0,0,0,0,0,0,0,0,0
