cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABarpppaaa:105,ABarpppaaa,105,5100,-19899,-3,-3,5100,53.3,411,172,30,453017
ABarpppaap:105,ABarpppaap,105,5046,-19954,-31,-36,5046,49.8,380,118,35,676035
ABarpppap:75,ABarpppap,75,5465,-19534,-13,-15,5465,52.1,324,186,38,625653
ABarpppapa:105,ABarpppapa,105,5107,-19892,-54,-49,5107,53.2,352,184,38,773516
ABarpppapp:105,ABarpppapp,105,5155,-19844,-236,-204,5155,49.6,303,126,32,530837
ABarpppp:54,ABarpppp,54,5938,-19061,-15,42,5938,47.0,279,200,44,709591
ABarppppa:77,ABarppppa,77,5360,-19640,-131,-134,5360,50.4,290,159,39,686785
ABarppppaa:108,ABarppppaa,108,5067,-19932,-30,-27,5067,46.7,344,99,33,588950
ABarppppap:108,ABarppppap,108,5113,-19886,-115,-95,5113,43.1,292,93,33,592495
ABarppppp:77,ABarppppp,77,5594,-19405,24,62,5594,48.4,226,159,40,764204
ABarpppppa:111,ABarpppppa,111,8475,-16525,2810,2853,8475,45.9,227,115,33,612793
ABarpppppp:111,ABarpppppp,111,8315,-16684,2730,2756,8315,36.2,162,124,34,611561
ABp:1,ABp,1,6808,-18192,939,939,6808,49.0,381,188,82,0
ABpl:2,ABpl,2,6713,-18287,767,767,6713,45.6,378,304,76,4226693
ABpla:7,ABpla,7,6946,-18053,889,889,6946,46.5,480,289,64,2498596
ABplaa:18,ABplaa,18,6636,-18363,412,415,6636,46.7,524,302,59,2007153
ABplaaa:33,ABplaaa,33,6364,-18635,21,21,6364,48.5,567,289,51,1309448
ABplaaaa:50,ABplaaaa,50,6020,-18979,-10,-10,6020,42.0,598,327,46,849912
ABplaaaaa:70,ABplaaaaa,70,5410,-19589,-8,-10,5410,45.1,550,369,38,631211
ABplaaaaaa:99,ABplaaaaaa,99,5196,-19803,6,-5,5196,53.1,545,328,34,616400
ABplaaaaaaa:145,ABplaaaaaaa,145,4895,-20104,-76,-58,4895,49.3,562,344,27,351987
ABplaaaaaap:145,ABplaaaaaap,145,4922,-20077,-41,-36,4922,50.1,534,349,29,463705
ABplaaaaap:99,ABplaaaaap,99,5186,-19813,-60,-62,5186,51.9,505,329,32,487530
ABplaaaaapa:134,ABplaaaaapa,134,5032,-19967,-8,-11,5032,49.2,528,332,27,341309
ABplaaaaapp:134,ABplaaaaapp,134,4943,-20056,-89,-93,4943,50.0,496,339,30,411311
ABplaaaap:70,ABplaaaap,70,5346,-19653,-68,-70,5346,49.4,505,360,37,575058
ABplaaaapa:100,ABplaaaapa,100,5079,-19920,-25,-31,5079,53.1,501,295,32,567440
ABplaaaapp:100,ABplaaaapp,100,5031,-19969,-85,-91,5031,52.9,464,294,33,579705
ABplaaap:50,ABplaaap,50,5916,-19083,-107,-108,5916,50.7,530,302,43,724515
ABplaaapa:73,ABplaaapa,73,5304,-19696,-110,-111,5304,52.2,462,340,35,572062
ABplaaapaa:104,ABplaaapaa,104,5069,-19930,0,3,5069,53.1,478,356,31,496294
ABplaaapap:104,ABplaaapap,104,5031,-19968,-49,-61,5031,51.4,447,364,35,662103
ABplaaapp:73,ABplaaapp,73,5317,-19682,-98,-104,5317,49.9,404,332,38,606994
ABplaaappa:102,ABplaaappa,102,5031,-19968,-84,-93,5031,49.8,414,364,32,561738
ABplaaappp:102,ABplaaappp,102,5045,-19954,-81,-92,5045,51.5,379,354,36,746285
ABplaap:33,ABplaap,33,6338,-18661,96,99,6338,43.9,479,333,51,1187359
ABplaapa:50,ABplaapa,50,5979,-19021,-49,-51,5979,46.1,531,363,44,810733
ABplaapaa:71,ABplaapaa,71,5384,-19615,-40,-42,5384,45.3,470,394,38,661794
ABplaapaaa:100,ABplaapaaa,100,5107,-19892,-24,-25,5107,50.1,530,368,34,596055
ABplaapaaaa:145,ABplaapaaaa,145,4918,-20081,23,62,4918,43.3,604,345,30,448069
ABplaapaaap:145,ABplaapaaap,145,4858,-20142,-10,7,4858,47.1,576,364,30,449801
ABplaapaap:100,ABplaapaap,100,5176,-19823,2,-9,5176,50.5,486,372,34,611638
ABplaapaapa:141,ABplaapaapa,141,4890,-20109,37,54,4890,45.0,544,397,29,435141
ABplaapaapp:141,ABplaapaapp,141,4986,-20013,74,80,4986,43.8,510,402,32,512547
ABplaapap:71,ABplaapap,71,5371,-19628,-57,-59,5371,47.7,412,389,38,627788
ABplaapapa:98,ABplaapapa,98,5089,-19910,-57,-75,5089,45.8,458,372,33,647916
ABplaapapaa:146,ABplaapapaa,146,4809,-20190,-142,-155,4809,38.1,475,366,30,508177
ABplaapapap:146,ABplaapapap,146,4867,-20132,-69,-105,4867,40.2,451,380,30,541395
ABplaapapp:98,ABplaapapp,98,5202,-19797,-66,-94,5202,49.3,419,365,34,578204
ABplaapappa:134,ABplaapappa,134,4930,-20069,-88,-107,4930,44.6,481,371,29,451100
ABplaapappp:134,ABplaapappp,134,4980,-20019,-43,-83,4980,45.6,452,384,33,588510
ABplaapp:50,ABplaapp,50,5976,-19023,-91,-91,5976,45.1,461,326,45,744059
ABplaappa:69,ABplaappa,69,5371,-19628,-19,-28,5371,40.3,406,401,39,666171
ABplaappaa:102,ABplaappaa,102,5048,-19951,80,80,5048,36.1,420,417,31,529103
ABplaappap:102,ABplaappap,102,5029,-19970,-2,-6,5029,36.3,384,406,34,650346
